"CODIGO,""RUBRO"",""VALOR""";;;;
"O2120202,""Adquisición de servicios"",""2,275,500,000""";;;;
"O2120202006,""Servicios de alojamiento"; servicios de suministro de comidas y bebidas; servicios de transporte;" y servicios de distribución de electricidad, gas y agua"",""66,000,000""";
"O212020200604,""Servicios de transporte de pasajeros"",""2,200,000""";;;;
"O21202020060464112,""Servicios de transporte terrestre local regular de pasajeros"",""2,200,000""";;;;
"O21202020060464220,""Servicios de transporte terrestre de pasajeros, diferente del transporte local y turístico de pasajeros"",";;;;
"O21202020060464241,""Servicios de transporte aéreo de pasajeros, excepto los servicios de aerotaxi"",";;;;
"O212020200607,""Servicios de apoyo al transporte"",";;;;
"O21202020060767430,""Servicios de parqueaderos"",";;;;
"O212020200608,""Servicios postales y de mensajería"",""56,300,000""";;;;
"O21202020060868021,""Servicios locales de mensajería nacional"",""56,300,000""";;;;
"O212020200609,""Servicios de distribución de electricidad, gas y agua (por cuenta propia)"",""7,500,000""";;;;
"O21202020060969112,""Servicios de distribución de electricidad (por cuenta propia)"",""7,500,000""";;;;
"O2120202007,""Servicios financieros y servicios conexos, servicios inmobiliarios y servicios de leasing"",""833,100,000""";;;;
"O212020200701,""Servicios financieros y servicios conexos"",""468,400,000""";;;;
"O21202020070103,""Servicios de seguros y pensiones (excepto los servicios de reaseguro y de seguridad social de afiliación obligatoria)"",""468,400,000""";;;;
"O2120202007010303,""Servicios de seguros sociales de protección de otros riesgos sociales (excepto los servicios de seguridad social de afiliación obligatoria)"",""700,000""";;;;
"O212020200701030371332,""Servicios de seguros sociales de riesgos laborales"",""700,000""";;;;
"O2120202007010304,""Servicios de seguros de salud y de accidentes"",""2,000,000""";;;;
"O212020200701030471347,""Servicio de seguro obligatorio de accidentes de tránsito (SOAT)"",""2,000,000""";;;;
"O2120202007010305,""Otros servicios de seguros distintos a los seguros de vida (excepto los servicios de reaseguro)"",""465,700,000""";;;;
"O212020200701030571351,""Servicios de seguros de vehículos automotores"",""9,700,000""";;;;
"O212020200701030571354,""Servicios de seguros contra incendio, terremoto o sustracción"",""29,000,000""";;;;
"O212020200701030571355,""Servicios de seguros generales de responsabilidad civil"",""381,000,000""";;;;
"O212020200701030571359,""Otros servicios de seguros distintos de los seguros de vida n.c.p."",""46,000,000""";;;;
